date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev,actual,err,settle,units
2026-08-13,822696,CHC,WSH,ER,Kevin Gausman,,2.5,Under,2.31274,-135,2026-08-13T15:05:00Z,,,6,3.687,L,-1.0
2026-08-13,822696,CHC,WSH,K,Cade Cavalli,,5.5,Under,5.36439,-145,2026-08-13T15:05:00Z,,,10,4.636,L,-1.0
2026-08-13,822696,CHC,WSH,BB,Cade Cavalli,,1.5,Over,1.93384,-181,2026-08-13T15:05:00Z,,,2,0.066,W,0.5525
2026-08-13,822696,CHC,WSH,ER,Cade Cavalli,,2.5,Under,2.09227,-122,2026-08-13T15:05:00Z,,,0,-2.092,W,0.8197
2026-08-13,823669,PHI,MIN,K,Aaron Nola,,5.5,Under,5.25654,-154,2026-08-13T15:05:00Z,,,9,3.743,L,-1.0
2026-08-13,823669,PHI,MIN,BB,Aaron Nola,,1.5,Over,1.74299,-117,2026-08-13T15:05:00Z,,,3,1.257,W,0.8547
2026-08-13,823669,PHI,MIN,ER,Aaron Nola,,2.5,Over,2.57015,-112,2026-08-13T15:05:00Z,,,1,-1.57,L,-1.0
2026-08-13,823669,PHI,MIN,K,Taj Bradley,,5.5,Over,5.6979,-136,2026-08-13T15:05:00Z,,,3,-2.698,L,-1.0
2026-08-13,823669,PHI,MIN,BB,Taj Bradley,,1.5,Over,2.25296,-179,2026-08-13T15:05:00Z,,,4,1.747,W,0.5587
2026-08-13,823669,PHI,MIN,ER,Taj Bradley,,2.5,Over,2.66797,-105,2026-08-13T15:05:00Z,,,5,2.332,W,0.9524
2026-08-13,823995,TEX,LAA,K,Jacob deGrom,,6.5,Under,6.33753,-102,2026-08-13T15:05:00Z,,,3,-3.338,W,0.9804
2026-08-13,823995,TEX,LAA,ER,Jacob deGrom,,1.5,Over,2.26688,-140,2026-08-13T15:05:00Z,,,2,-0.267,W,0.7143
2026-08-13,823995,TEX,LAA,K,Walbert Urena,,4.5,Over,5.22052,-135,2026-08-13T15:05:00Z,,,5,-0.221,W,0.7407
2026-08-13,823995,TEX,LAA,ER,Walbert Urena,,2.5,Under,2.42631,-150,2026-08-13T15:05:00Z,,,0,-2.426,W,0.6667
2026-08-13,823915,MIL,LAD,K,Shane Drohan,,4.5,Over,5.61982,-103,2026-08-13T15:05:00Z,,,5,-0.62,W,0.9709
2026-08-13,823915,MIL,LAD,ER,Shane Drohan,,2.5,Over,2.98591,-135,2026-08-13T15:05:00Z,,,3,0.014,W,0.7407
2026-08-13,823915,MIL,LAD,K,Roki Sasaki,,5.5,Under,5.49432,104,2026-08-13T15:05:00Z,,,2,-3.494,W,1.04
2026-08-13,823915,MIL,LAD,ER,Roki Sasaki,,2.5,Under,2.29337,-165,2026-08-13T15:05:00Z,,,2,-0.293,W,0.6061
2026-08-13,823508,SEA,NYY,TB,Randy Arozarena,668227,1.5,Over,0.64796,165,2026-08-13T15:05:00Z,BOTH,9.76,1,0.352,L,-1.0
2026-08-13,823508,SEA,NYY,TB,Julio Rodriguez,677594,1.5,Over,0.69514,155,2026-08-13T15:05:00Z,BOTH,8.93,1,0.305,L,-1.0
2026-08-13,823915,MIL,LAD,TB,Tommy Edman,669242,1.5,Over,0.17696,155,2026-08-13T15:05:00Z,EV,4.88,0,-0.177,L,-1.0
2026-08-13,822696,CHC,WSH,TB,Michael Busch,683737,1.5,Over,0.14466,133,2026-08-13T15:05:00Z,EV,4.54,1,0.855,L,-1.0
2026-08-13,823508,SEA,NYY,TB,Trent Grisham,663757,1.5,Over,0.0704,148,2026-08-13T15:05:00Z,EV,4.07,1,0.93,L,-1.0
2026-08-13,823829,PIT,MIA,TB,Brandon Lowe,664040,1.5,Over,0.60494,125,2026-08-13T15:05:00Z,BOTH,3.73,1,0.395,L,-1.0
2026-08-13,824561,CIN,CWS,TB,Sal Stewart,701398,1.5,Over,0.30836,130,2026-08-13T15:05:00Z,EV,3.35,5,4.692,W,1.3
2026-08-13,822696,CHC,WSH,TB,Pete Crow-Armstrong,691718,1.5,Over,0.67496,-105,2026-08-13T15:05:00Z,BOTH,2.92,0,-0.675,L,-1.0
2026-08-13,824561,CIN,CWS,TB,JJ Bleday,668709,1.5,Over,0.54429,148,2026-08-13T15:05:00Z,BOTH,2.63,0,-0.544,L,-1.0
2026-08-13,822696,CHC,WSH,TB,Daylen Lile,695734,1.5,Over,0.18259,130,2026-08-13T15:05:00Z,EV,2.5,2,1.817,W,1.3
2026-08-13,824238,CLE,DET,TB,Travis Bazzana,683953,1.5,Over,0.25657,175,2026-08-13T15:05:00Z,EV,2.21,0,-0.257,L,-1.0
2026-08-13,822696,CHC,WSH,TB,CJ Abrams,682928,1.5,Over,0.62103,110,2026-08-13T15:05:00Z,BOTH,2.14,1,0.379,L,-1.0
2026-08-13,823915,MIL,LAD,TB,Mookie Betts,605141,1.5,Over,0.37481,150,2026-08-13T15:05:00Z,EV,1.39,0,-0.375,L,-1.0
2026-08-13,823995,TEX,LAA,TB,Wyatt Langford,694671,1.5,Over,0.1319,135,2026-08-13T15:05:00Z,EV,1.32,1,0.868,L,-1.0
2026-08-13,823829,PIT,MIA,TB,Esmerlyn Valdez,699013,1.5,Over,0.55593,175,2026-08-13T15:05:00Z,BOTH,0.59,2,1.444,W,1.75
2026-08-13,823915,MIL,LAD,TB,Teoscar Hernandez,606192,1.5,Over,0.17367,160,2026-08-13T15:05:00Z,EV,0.55,1,0.826,L,-1.0
2026-08-13,824561,CIN,CWS,TB,Tyler Stephenson,663886,1.5,Over,0.24462,175,2026-08-13T15:05:00Z,EV,0.36,5,4.755,W,1.75
2026-08-13,824238,CLE,DET,TB,Chase DeLauter,800050,1.5,Over,0.67275,115,2026-08-13T15:05:00Z,BOTH,0.03,2,1.327,W,1.15
2026-08-13,823508,SEA,NYY,TB,Cole Young,702284,1.5,Over,0.28448,185,2026-08-13T15:05:00Z,EV,-0.08,0,-0.284,L,-1.0
2026-08-13,823915,MIL,LAD,TB,Andy Pages,681624,1.5,Over,0.48927,128,2026-08-13T15:05:00Z,BOTH,-0.25,0,-0.489,L,-1.0
2026-08-13,823915,MIL,LAD,TB,Shohei Ohtani,660271,1.5,Over,0.95743,104,2026-08-13T15:05:00Z,Z,-0.85,2,1.043,W,1.04
2026-08-13,823669,PHI,MIN,TB,Bryce Harper,547180,1.5,Over,0.82625,125,2026-08-13T15:05:00Z,Z,-1.61,1,0.174,L,-1.0
2026-08-13,822776,BOS,TOR,TB,Willson Contreras,575929,1.5,Over,0.8032,122,2026-08-13T15:05:00Z,Z,-0.97,2,1.197,W,1.22
2026-08-13,823995,TEX,LAA,TB,Joc Pederson,592626,1.5,Over,0.72872,125,2026-08-13T15:05:00Z,Z,-2.79,0,-0.729,L,-1.0
2026-08-13,824561,CIN,CWS,TB,Miguel Vargas,678246,1.5,Over,0.71197,113,2026-08-13T15:05:00Z,Z,-1.23,0,-0.712,L,-1.0
2026-08-13,823669,PHI,MIN,TB,Kyle Schwarber,656941,1.5,Over,0.64676,115,2026-08-13T15:05:00Z,Z,-4.2,8,7.353,W,1.15
2026-08-13,822776,BOS,TOR,TB,Wilyer Abreu,677800,1.5,Over,0.53494,119,2026-08-13T15:05:00Z,Z,-0.8,1,0.465,L,-1.0
2026-08-13,823995,TEX,LAA,TB,Brandon Nimmo,607043,1.5,Over,0.50752,140,2026-08-13T15:05:00Z,Z,-2.58,0,-0.508,L,-1.0
2026-08-13,823508,SEA,NYY,TB,Ben Rice,700250,1.5,Over,0.50288,123,2026-08-13T15:05:00Z,Z,-0.57,0,-0.503,L,-1.0
2026-08-13,823829,PIT,MIA,TB,Spencer Horwitz,687462,1.5,Over,0.48873,140,2026-08-13T15:05:00Z,Z,-1.24,2,1.511,W,1.4
2026-08-13,823669,PHI,MIN,TB,Byron Buxton,621439,1.5,Over,0.48452,103,2026-08-13T15:05:00Z,Z,-3.98,2,1.515,W,1.03
2026-08-13,822696,CHC,WSH,HRR,CJ Abrams,682928,1.5,Over,1.63301,-124,2026-08-13T15:05:00Z,,,2,0.367,W,0.8065
2026-08-13,823915,MIL,LAD,HRR,Shohei Ohtani,660271,1.5,Over,1.47035,-141,2026-08-13T15:05:00Z,,,1,-0.47,L,-1.0
2026-08-13,822696,CHC,WSH,HRR,Pete Crow-Armstrong,691718,2.5,Over,1.45095,116,2026-08-13T15:05:00Z,,,0,-1.451,L,-1.0
2026-08-13,823915,MIL,LAD,HRR,Brice Turang,668930,1.5,Over,1.37697,-105,2026-08-13T15:05:00Z,,,,,V,0.0
2026-08-13,822696,CHC,WSH,HRR,Seiya Suzuki,673548,1.5,Over,1.35014,-133,2026-08-13T15:05:00Z,,,0,-1.35,L,-1.0
