date,game_pk,away,home,market,entity,player_id,line,side,proj,price,ts,board,ev
2026-08-19,823664,ATL,MIN,ER,AJ Smith-Shawver,700363,2.5,Over,2.528,126,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,K,Taj Bradley,671737,5.5,Over,5.8925,-125,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,BB,Taj Bradley,671737,1.5,Over,2.1954,-187,2026-08-19T13:40:00Z,,
2026-08-19,823664,ATL,MIN,ER,Taj Bradley,671737,2.5,Over,2.9647,-115,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,K,Clay Holmes,605280,4.5,Over,5.1636,-123,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,BB,Clay Holmes,605280,1.5,Over,2.2258,-190,2026-08-19T13:40:00Z,,
2026-08-19,824640,CWS,CHC,ER,Clay Holmes,605280,1.5,Over,2.86,-142,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,K,Brandon Pfaadt,694297,3.5,Over,4.0366,-114,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,BB,Brandon Pfaadt,694297,1.5,Over,1.6261,-113,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,ER,Brandon Pfaadt,694297,2.5,Under,2.3015,-106,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,K,Payton Tolle,801139,5.5,Over,6.029,-118,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,BB,Payton Tolle,801139,1.5,Over,1.6571,120,2026-08-19T13:40:00Z,,
2026-08-19,824722,AZ,BOS,ER,Payton Tolle,801139,1.5,Over,2.0881,-154,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,K,Sandy Alcantara,645261,4.5,Over,4.5833,115,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,BB,Sandy Alcantara,645261,1.5,Over,1.8482,-107,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,ER,Sandy Alcantara,645261,2.5,Over,2.765,-150,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,K,Aaron Nola,605400,5.5,Over,5.5617,-133,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,BB,Aaron Nola,605400,1.5,Over,1.7883,-180,2026-08-19T13:40:00Z,,
2026-08-19,823424,MIA,PHI,ER,Aaron Nola,605400,2.5,Over,2.6161,-121,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,K,Will Warren,701542,5.5,Over,6.1408,116,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,BB,Will Warren,701542,1.5,Over,2.0631,-176,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,ER,Will Warren,701542,2.5,Over,2.7686,-100,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,K,Chris Bassitt,605135,4.5,Over,4.8961,-114,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,BB,Chris Bassitt,605135,1.5,Over,2.5489,-180,2026-08-19T13:40:00Z,,
2026-08-19,824801,NYY,BAL,ER,Chris Bassitt,605135,2.5,Over,3.2477,-130,2026-08-19T13:40:00Z,,
2026-08-19,824394,SF,CLE,K,Parker Messick,800048,6.5,Over,6.9083,110,2026-08-19T13:40:00Z,,
2026-08-19,824394,SF,CLE,BB,Parker Messick,800048,1.5,Under,1.4126,-143,2026-08-19T13:40:00Z,,
2026-08-19,824394,SF,CLE,ER,Parker Messick,800048,1.5,Over,1.9807,-140,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,K,Matthew Liberatore,669461,5.5,Over,6.0063,-122,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,BB,Matthew Liberatore,669461,1.5,Over,2.172,-124,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,ER,Matthew Liberatore,669461,2.5,Under,2.3923,-131,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,K,Chase Burns,695505,6.5,Under,5.9567,-144,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,BB,Chase Burns,695505,1.5,Over,1.7017,-128,2026-08-19T13:40:00Z,,
2026-08-19,824476,STL,CIN,ER,Chase Burns,695505,1.5,Over,2.0657,-165,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,K,Max Scherzer,453286,3.5,Under,3.241,-110,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,BB,Max Scherzer,453286,1.5,Over,2.1343,-122,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,ER,Max Scherzer,453286,2.5,Under,2.3979,-116,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,K,Drew Rasmussen,656876,5.5,Under,4.9415,-167,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,BB,Drew Rasmussen,656876,1.5,Under,0.9538,-225,2026-08-19T13:40:00Z,,
2026-08-19,822937,TOR,TB,ER,Drew Rasmussen,656876,1.5,Over,1.751,-125,2026-08-19T13:40:00Z,,
2026-08-19,824076,ATH,KC,K,Seth Lugo,607625,4.5,Under,3.8399,-125,2026-08-19T13:40:00Z,,
2026-08-19,824076,ATH,KC,BB,Seth Lugo,607625,1.5,Over,1.5832,,2026-08-19T13:40:00Z,,
2026-08-19,824076,ATH,KC,ER,Seth Lugo,607625,2.5,Over,2.6869,102,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,K,Logan Gilbert,669302,6.5,Over,6.5213,-114,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,BB,Logan Gilbert,669302,1.5,Over,1.8352,,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,ER,Logan Gilbert,669302,2.5,Under,2.3327,-167,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,K,Dustin May,669160,5.5,Under,5.4946,-138,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,BB,Dustin May,669160,1.5,Over,1.893,,2026-08-19T13:40:00Z,,
2026-08-19,823748,SEA,MIL,ER,Dustin May,669160,1.5,Over,2.952,-145,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,K,Cade Cavalli,676917,5.5,Over,6.6922,-125,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,BB,Cade Cavalli,676917,1.5,Over,1.8102,,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,ER,Cade Cavalli,676917,2.5,Under,2.1383,-162,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,K,Kumar Rocker,677958,4.5,Over,4.6506,-144,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,BB,Kumar Rocker,677958,1.5,Over,1.8467,,2026-08-19T13:40:00Z,,
2026-08-19,822860,WSH,TEX,ER,Kumar Rocker,677958,1.5,Over,2.7163,-160,2026-08-19T13:40:00Z,,
2026-08-19,824155,LAA,HOU,K,Walbert Ureña,700712,4.5,Over,4.7128,-125,2026-08-19T13:40:00Z,,
2026-08-19,824155,LAA,HOU,BB,Walbert Ureña,700712,2.5,Under,2.4602,-147,2026-08-19T13:40:00Z,,
2026-08-19,824155,LAA,HOU,ER,Walbert Ureña,700712,2.5,Under,2.3592,-142,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,K,Roki Sasaki,808963,4.5,Over,5.3443,-159,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,BB,Roki Sasaki,808963,1.5,Over,1.759,,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,ER,Roki Sasaki,808963,2.5,Under,2.2797,-100,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,K,Kyle Freeland,607536,3.5,Over,5.0227,-145,2026-08-19T13:40:00Z,,
2026-08-19,824318,LAD,COL,BB,Kyle Freeland,607536,1.5,Under,1.3166,,2026-08-19T13:40:00Z,,
