date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board
2026-08-17,BAL@TB,TB,4.5,Over,0.456,0.448,0.008,115,betmgm,5,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,4.5,Under,0.544,0.552,-0.008,-140,draftkings,5,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,5.5,Over,0.333,0.333,-0.0,180,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,5.5,Under,0.667,0.667,0.0,-250,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,6.5,Over,0.235,0.248,-0.013,280,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,6.5,Under,0.765,0.752,0.013,-400,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,7.5,Over,0.161,0.172,-0.011,450,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,7.5,Under,0.839,0.828,0.011,-700,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,8.5,Over,0.106,0.125,-0.019,650,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,BAL@TB,TB,8.5,Under,0.894,0.875,0.019,-1400,williamhill_us,1,4.62,Expected Lineup,822939,False
2026-08-17,MIA@PHI,MIA,2.5,Over,0.702,0.567,0.135,-142,fanduel,3,4.44,Expected Lineup,823427,True
2026-08-17,MIA@PHI,MIA,2.5,Under,0.298,0.433,-0.135,120,betmgm,3,4.44,Expected Lineup,823427,False
2026-08-17,MIA@PHI,MIA,3.5,Over,0.566,0.428,0.138,120,draftkings,1,4.44,Expected Lineup,823427,False
2026-08-17,MIA@PHI,MIA,3.5,Under,0.434,0.572,-0.138,-154,draftkings,1,4.44,Expected Lineup,823427,False
2026-08-17,MIA@PHI,PHI,4.5,Over,0.49,0.53,-0.039,-125,betmgm,4,4.83,Expected Lineup,823427,False
2026-08-17,MIA@PHI,PHI,4.5,Under,0.51,0.47,0.039,102,betrivers,4,4.83,Expected Lineup,823427,False
2026-08-17,DET@PIT,DET,2.5,Over,0.739,0.688,0.052,-275,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,2.5,Under,0.261,0.312,-0.052,200,williamhill_us,1,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,3.5,Over,0.611,0.559,0.052,-142,fanduel,2,4.82,Expected Lineup,823343,False
2026-08-17,DET@PIT,DET,3.5,Under,0.389,0.441,-0.052,115,williamhill_us,2,4.82,Expected Lineup,823343,False
