date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,on_board,actual,settle,units
2026-08-16,CWS@DET,DET,4.5,Under,0.608,0.584,0.023,-157,betrivers,2,4.12,CONF (statsapi),False,5,L,-1.0
2026-08-16,MIA@CIN,MIA,3.5,Over,0.672,0.604,0.067,-175,betrivers,2,5.36,CONF (statsapi),False,7,W,0.5714
2026-08-16,MIA@CIN,MIA,3.5,Under,0.328,0.396,-0.067,140,betrivers,2,5.36,CONF (statsapi),False,7,L,-1.0
2026-08-16,MIA@CIN,MIA,4.5,Over,0.55,0.48,0.07,-102,fanduel,5,5.36,CONF (statsapi),False,7,W,0.9804
2026-08-16,MIA@CIN,MIA,4.5,Under,0.45,0.52,-0.07,-120,draftkings,5,5.36,CONF (statsapi),False,7,L,-1.0
2026-08-16,MIA@CIN,MIA,5.5,Over,0.431,0.366,0.065,160,williamhill_us,2,5.36,CONF (statsapi),False,7,W,1.6
2026-08-16,MIA@CIN,MIA,5.5,Under,0.569,0.634,-0.065,-200,williamhill_us,2,5.36,CONF (statsapi),False,7,L,-1.0
2026-08-16,MIA@CIN,CIN,2.5,Over,0.669,0.677,-0.008,-250,williamhill_us,2,3.97,CONF (statsapi),False,1,L,-1.0
2026-08-16,MIA@CIN,CIN,2.5,Under,0.331,0.323,0.008,200,betrivers,2,3.97,CONF (statsapi),False,1,W,2.0
2026-08-16,MIA@CIN,CIN,3.5,Over,0.513,0.541,-0.028,-130,betmgm,5,3.97,CONF (statsapi),False,1,L,-1.0
2026-08-16,MIA@CIN,CIN,3.5,Under,0.487,0.459,0.028,108,fanduel,5,3.97,CONF (statsapi),False,1,W,1.08
2026-08-16,MIA@CIN,CIN,4.5,Over,0.374,0.407,-0.033,135,betrivers,2,3.97,CONF (statsapi),False,1,L,-1.0
2026-08-16,MIA@CIN,CIN,4.5,Under,0.626,0.593,0.033,-167,williamhill_us,2,3.97,CONF (statsapi),False,1,W,0.5988
2026-08-16,PHI@MIN,PHI,3.5,Over,0.647,0.634,0.013,-200,williamhill_us,2,5.1,CONF (statsapi),False,7,W,0.5
2026-08-16,PHI@MIN,PHI,3.5,Under,0.353,0.366,-0.013,165,betrivers,2,5.1,CONF (statsapi),False,7,L,-1.0
2026-08-16,PHI@MIN,PHI,4.5,Over,0.52,0.516,0.004,-115,fanduel,5,5.1,CONF (statsapi),False,7,W,0.8696
2026-08-16,PHI@MIN,PHI,4.5,Under,0.48,0.484,-0.004,-103,betrivers,5,5.1,CONF (statsapi),False,7,L,-1.0
2026-08-16,PHI@MIN,PHI,5.5,Over,0.401,0.404,-0.003,137,williamhill_us,2,5.1,CONF (statsapi),False,7,W,1.37
2026-08-16,PHI@MIN,PHI,5.5,Under,0.599,0.596,0.003,-165,betrivers,2,5.1,CONF (statsapi),False,7,L,-1.0
2026-08-16,PHI@MIN,MIN,3.5,Over,0.7,0.62,0.08,-187,williamhill_us,2,5.46,CONF (statsapi),False,5,W,0.5348
2026-08-16,PHI@MIN,MIN,3.5,Under,0.3,0.38,-0.08,155,betrivers,2,5.46,CONF (statsapi),False,5,L,-1.0
2026-08-16,PHI@MIN,MIN,4.5,Over,0.571,0.48,0.092,-104,fanduel,5,5.46,CONF (statsapi),True,5,W,0.9615
2026-08-16,PHI@MIN,MIN,4.5,Under,0.429,0.52,-0.092,-115,betrivers,5,5.46,CONF (statsapi),False,5,L,-1.0
2026-08-16,PHI@MIN,MIN,5.5,Over,0.445,0.366,0.079,160,williamhill_us,2,5.46,CONF (statsapi),False,5,L,-1.0
2026-08-16,PHI@MIN,MIN,5.5,Under,0.555,0.634,-0.079,-200,williamhill_us,2,5.46,CONF (statsapi),False,5,W,0.5
2026-08-16,STL@CHC,STL,3.5,Over,0.634,0.52,0.114,-118,fanduel,5,5.01,rotowire Expected Lineup,True,11,W,0.8475
2026-08-16,STL@CHC,STL,3.5,Under,0.366,0.48,-0.114,100,betrivers,5,5.01,rotowire Expected Lineup,False,11,L,-1.0
2026-08-16,STL@CHC,CHC,4.5,Over,0.505,0.526,-0.021,-118,betrivers,5,4.94,rotowire Expected Lineup,False,4,L,-1.0
2026-08-16,STL@CHC,CHC,4.5,Under,0.495,0.474,0.021,100,draftkings,5,4.94,rotowire Expected Lineup,False,4,W,1.0
2026-08-16,COL@SF,COL,3.5,Over,0.588,0.52,0.068,-113,fanduel,5,4.64,rotowire Expected Lineup,False,13,W,0.885
2026-08-16,COL@SF,COL,3.5,Under,0.412,0.48,-0.068,100,betmgm,5,4.64,rotowire Expected Lineup,False,13,L,-1.0
2026-08-16,COL@SF,SF,3.5,Over,0.622,0.563,0.058,-142,fanduel,5,4.75,rotowire Expected Lineup,False,7,W,0.7042
2026-08-16,COL@SF,SF,3.5,Under,0.378,0.437,-0.058,120,draftkings,5,4.75,rotowire Expected Lineup,False,7,L,-1.0
2026-08-16,TEX@ATH,TEX,5.5,Over,0.452,0.459,-0.007,110,betmgm,5,5.54,rotowire Expected Lineup,False,2,L,-1.0
2026-08-16,TEX@ATH,TEX,5.5,Under,0.548,0.541,0.007,-130,betrivers,5,5.54,rotowire Expected Lineup,False,2,W,0.7692
2026-08-16,TEX@ATH,ATH,4.5,Over,0.387,0.469,-0.082,104,fanduel,5,4.08,rotowire Expected Lineup,False,5,W,1.04
2026-08-16,TEX@ATH,ATH,4.5,Under,0.613,0.531,0.082,-124,betrivers,5,4.08,rotowire Expected Lineup,True,5,L,-1.0
2026-08-16,KC@LAA,KC,4.5,Over,0.502,0.48,0.022,100,fanduel,5,4.96,rotowire Expected Lineup,False,3,L,-1.0
2026-08-16,KC@LAA,KC,4.5,Under,0.498,0.52,-0.022,-108,betrivers,5,4.96,rotowire Expected Lineup,False,3,W,0.9259
2026-08-16,KC@LAA,LAA,3.5,Over,0.593,0.563,0.03,-148,betrivers,3,4.54,rotowire Expected Lineup,False,0,L,-1.0
2026-08-16,KC@LAA,LAA,3.5,Under,0.407,0.437,-0.03,115,williamhill_us,3,4.54,rotowire Expected Lineup,False,0,W,1.15
2026-08-16,KC@LAA,LAA,4.5,Over,0.451,0.428,0.023,120,draftkings,3,4.54,rotowire Expected Lineup,False,0,L,-1.0
2026-08-16,KC@LAA,LAA,4.5,Under,0.549,0.572,-0.023,-148,fanduel,3,4.54,rotowire Expected Lineup,False,0,W,0.6757
2026-08-16,MIL@LAD,MIL,2.5,Over,0.628,0.563,0.065,-148,fanduel,3,3.75,rotowire Expected Lineup,False,6,W,0.6757
2026-08-16,MIL@LAD,MIL,2.5,Under,0.372,0.437,-0.065,120,draftkings,3,3.75,rotowire Expected Lineup,False,6,L,-1.0
2026-08-16,MIL@LAD,LAD,3.5,Over,0.505,0.559,-0.055,-145,draftkings,3,3.89,rotowire Expected Lineup,False,2,L,-1.0
2026-08-16,MIL@LAD,LAD,3.5,Under,0.495,0.441,0.055,115,betmgm,3,3.89,rotowire Expected Lineup,False,2,W,1.15
2026-08-16,SEA@HOU,SEA,3.5,Over,0.602,0.528,0.073,-121,betrivers,5,4.73,rotowire Expected Lineup,True,3,L,-1.0
2026-08-16,SEA@HOU,SEA,3.5,Under,0.398,0.472,-0.073,100,draftkings,5,4.73,rotowire Expected Lineup,False,3,W,1.0
2026-08-16,SEA@HOU,HOU,3.5,Over,0.54,0.545,-0.005,-129,betrivers,5,4.15,rotowire Expected Lineup,False,2,L,-1.0
2026-08-16,SEA@HOU,HOU,3.5,Under,0.46,0.455,0.005,110,draftkings,5,4.15,rotowire Expected Lineup,False,2,W,1.1
