date,game,team,line,side,p_model,p_mkt,edge,price,book,nb,mean,lineup,game_pk,on_board,actual,settle,units
2026-08-17,BAL@TB,BAL,2.5,Over,0.571,0.61,-0.039,-187,williamhill_us,1,3.4,Expected Lineup,822939,False,6,W,0.5348
2026-08-17,BAL@TB,BAL,2.5,Under,0.429,0.39,0.039,140,williamhill_us,1,3.4,Expected Lineup,822939,False,6,L,-1.0
2026-08-17,BAL@TB,BAL,3.5,Over,0.42,0.469,-0.049,105,betrivers,5,3.4,Expected Lineup,822939,False,6,W,1.05
2026-08-17,BAL@TB,BAL,3.5,Under,0.58,0.531,0.049,-125,draftkings,5,3.4,Expected Lineup,822939,True,6,L,-1.0
2026-08-17,BAL@TB,BAL,4.5,Over,0.291,0.355,-0.064,162,williamhill_us,1,3.4,Expected Lineup,822939,False,6,W,1.62
2026-08-17,BAL@TB,BAL,4.5,Under,0.709,0.645,0.064,-225,williamhill_us,1,3.4,Expected Lineup,822939,False,6,L,-1.0
2026-08-17,BAL@TB,BAL,5.5,Over,0.191,0.263,-0.072,260,williamhill_us,1,3.4,Expected Lineup,822939,False,6,W,2.6
2026-08-17,BAL@TB,BAL,5.5,Under,0.809,0.737,0.072,-350,williamhill_us,1,3.4,Expected Lineup,822939,False,6,L,-1.0
2026-08-17,BAL@TB,BAL,6.5,Over,0.121,0.188,-0.067,400,williamhill_us,1,3.4,Expected Lineup,822939,False,6,L,-1.0
2026-08-17,BAL@TB,BAL,6.5,Under,0.879,0.812,0.067,-650,williamhill_us,1,3.4,Expected Lineup,822939,False,6,W,0.1538
2026-08-17,BAL@TB,BAL,7.5,Over,0.072,0.134,-0.062,600,williamhill_us,1,3.4,Expected Lineup,822939,False,6,L,-1.0
2026-08-17,BAL@TB,BAL,7.5,Under,0.928,0.866,0.062,-1200,williamhill_us,1,3.4,Expected Lineup,822939,False,6,W,0.0833
2026-08-17,BAL@TB,BAL,8.5,Over,0.041,0.104,-0.063,800,williamhill_us,1,3.4,Expected Lineup,822939,False,6,L,-1.0
2026-08-17,BAL@TB,BAL,8.5,Under,0.959,0.896,0.063,-2500,williamhill_us,1,3.4,Expected Lineup,822939,False,6,W,0.04
2026-08-17,BAL@TB,TB,2.5,Over,0.76,0.714,0.046,-333,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,W,0.3003
2026-08-17,BAL@TB,TB,2.5,Under,0.24,0.286,-0.046,225,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,3.5,Over,0.618,0.582,0.036,-162,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,W,0.6173
2026-08-17,BAL@TB,TB,3.5,Under,0.382,0.418,-0.036,125,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,4.5,Over,0.475,0.441,0.034,117,betrivers,5,4.78,CONF (statsapi),822939,False,7,W,1.17
2026-08-17,BAL@TB,TB,4.5,Under,0.525,0.559,-0.034,-140,draftkings,5,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,5.5,Over,0.349,0.333,0.016,180,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,W,1.8
2026-08-17,BAL@TB,TB,5.5,Under,0.651,0.667,-0.016,-250,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,6.5,Over,0.248,0.243,0.005,290,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,W,2.9
2026-08-17,BAL@TB,TB,6.5,Under,0.752,0.757,-0.005,-400,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,7.5,Over,0.172,0.172,-0.001,450,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,7.5,Under,0.829,0.828,0.001,-700,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,W,0.1429
2026-08-17,BAL@TB,TB,8.5,Over,0.117,0.125,-0.008,650,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,L,-1.0
2026-08-17,BAL@TB,TB,8.5,Under,0.883,0.875,0.008,-1400,williamhill_us,1,4.78,CONF (statsapi),822939,False,7,W,0.0714
2026-08-17,MIA@PHI,MIA,2.5,Over,0.72,0.559,0.161,-138,fanduel,3,4.61,CONF (statsapi),823427,True,5,W,0.7246
2026-08-17,MIA@PHI,MIA,2.5,Under,0.28,0.441,-0.161,117,betrivers,3,4.61,CONF (statsapi),823427,False,5,L,-1.0
2026-08-17,MIA@PHI,MIA,3.5,Over,0.586,0.428,0.158,120,betmgm,1,4.61,CONF (statsapi),823427,False,5,W,1.2
2026-08-17,MIA@PHI,MIA,3.5,Under,0.414,0.572,-0.158,-155,betmgm,1,4.61,CONF (statsapi),823427,False,5,L,-1.0
2026-08-17,MIA@PHI,PHI,4.5,Over,0.492,0.531,-0.038,-128,fanduel,4,4.82,CONF (statsapi),823427,False,6,W,0.7812
2026-08-17,MIA@PHI,PHI,4.5,Under,0.508,0.469,0.038,105,betrivers,4,4.82,CONF (statsapi),823427,False,6,L,-1.0
2026-08-17,DET@PIT,DET,2.5,Over,0.746,0.706,0.04,-300,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,W,0.3333
2026-08-17,DET@PIT,DET,2.5,Under,0.254,0.294,-0.04,220,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,3.5,Over,0.617,0.574,0.044,-148,fanduel,3,4.88,CONF (statsapi),823343,True,8,W,0.6757
2026-08-17,DET@PIT,DET,3.5,Under,0.383,0.426,-0.044,125,williamhill_us,3,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,4.5,Over,0.494,0.457,0.037,116,betrivers,4,4.88,CONF (statsapi),823343,False,8,W,1.16
2026-08-17,DET@PIT,DET,4.5,Under,0.506,0.543,-0.037,-135,draftkings,4,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,5.5,Over,0.375,0.338,0.038,190,betrivers,2,4.88,CONF (statsapi),823343,False,8,W,1.9
2026-08-17,DET@PIT,DET,5.5,Under,0.625,0.662,-0.038,-225,williamhill_us,2,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,6.5,Over,0.275,0.263,0.012,260,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,W,2.6
2026-08-17,DET@PIT,DET,6.5,Under,0.725,0.737,-0.012,-350,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,7.5,Over,0.196,0.197,-0.002,375,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,W,3.75
2026-08-17,DET@PIT,DET,7.5,Under,0.804,0.803,0.002,-600,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,8.5,Over,0.133,0.143,-0.01,550,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,L,-1.0
2026-08-17,DET@PIT,DET,8.5,Under,0.867,0.857,0.01,-1200,williamhill_us,1,4.88,CONF (statsapi),823343,False,8,W,0.0833
2026-08-17,DET@PIT,PIT,2.5,Over,0.736,0.698,0.038,-278,betrivers,2,4.64,CONF (statsapi),823343,False,5,W,0.3597
2026-08-17,DET@PIT,PIT,2.5,Under,0.264,0.302,-0.038,215,betrivers,2,4.64,CONF (statsapi),823343,False,5,L,-1.0
2026-08-17,DET@PIT,PIT,3.5,Over,0.601,0.559,0.042,-140,fanduel,5,4.64,CONF (statsapi),823343,False,5,W,0.7143
2026-08-17,DET@PIT,PIT,3.5,Under,0.399,0.441,-0.042,115,williamhill_us,5,4.64,CONF (statsapi),823343,False,5,L,-1.0
2026-08-17,DET@PIT,PIT,4.5,Over,0.466,0.423,0.044,128,betrivers,2,4.64,CONF (statsapi),823343,False,5,W,1.28
2026-08-17,DET@PIT,PIT,4.5,Under,0.534,0.577,-0.044,-154,williamhill_us,2,4.64,CONF (statsapi),823343,False,5,L,-1.0
2026-08-17,DET@PIT,PIT,5.5,Over,0.343,0.328,0.015,187,williamhill_us,1,4.64,CONF (statsapi),823343,False,5,L,-1.0
